Record ID,What does your current data stack look like and what tools are used?,Why did you choose this stack?,What is working well in your current setup?,What are the main frustrations or pain points?,Are there internal restrictions that limit your technology choices,Are there tools or technologies you would prefer to use but cannot due to these restrictions?,Other
,Most of the stack info is known but if not can be filled in and details can be listed here,,,,,,
5838930252,,,,,,,
5838863371,,,,,,,
5838863370,,,,,,,
5838876231,"Stack: VaultSpeed, Snowflake, GitLab, Airflow, custom Python/CI-CD tooling.","Why chosen: evolved from Cloudera to Snowflake migration; optimized for speed, stability, and preserving existing processes.","Working well: fast Snowflake deploys, stable pipeline, parallel execution, improved repo/process design.","Pain points: manual reload workflows, BV full-generation slowness, too much custom logic, difficult partial reloads.","Restrictions: keep current CI/CD stable, role separation, compatibility with existing naming/query patterns.","Preferred but missing: Business Vault delta generation, simpler standard supported flow, future Airflow 3 improvements.",
20264984421,,,,,,,
6757358995,,,,,,,
20301327672,,,,,,,
8648012952,,,,,,,
5833142119,,,,,,,
15138311588,,,,,,,
5838942342,,,,,,,
46685135800,,,,,,,
5838940448,,,,,,,
5838940449,,,,,,,
7195220091,,,,,,,
28311866529,,,,,,,
12608906847,,,,,,,
5838853678,,,,,,,
13836367116,,,,,,,
5838975567,,,,,,,
20197829184,,,,,,,
5838914982,,,,,,,
5838949473,,,,,,,
29652356878,,,,,,,
21876836165,,,,,,,
14136024991,,,,,,,
34610311595,,,,,,,
36283227005,,,,,,,
20264478479,,,,,,,
5838801527,,,,,,,
47059685705,,,,,,,
5838938482,,,,,,,
18960877448,,,,,,,
9096008012,,,,,,,
14403394200,,,,,,,
30007509532,,,,,,,
9103764251,,,,,,,
5838964019,,,,,,,
13740512348,,,,,,,
8271085932,,,,,,,
11621049858,,,,,,,
